21-01-2023 00:45:56.004;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:00.017;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:04.031;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:08.045;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:12.059;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:16.072;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:20.082;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:24.095;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:28.108;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:32.121;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:36.136;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:40.152;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:44.166;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:46:48.180;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:46:52.193;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:46:56.207;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:47:00.241;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:47:04.249;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
21-01-2023 00:47:08.283;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:12.291;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:16.305;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:20.319;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:24.335;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:28.349;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:32.362;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:36.376;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:40.390;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:47:44.404;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
