27-01-2023 00:15:06.688;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:10.703;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:14.716;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:18.729;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:22.745;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:26.758;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:30.766;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:34.780;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:38.796;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:42.810;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:46.824;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:50.838;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:54.845;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:15:58.861;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:02.875;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:06.889;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:10.896;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:14.910;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
27-01-2023 00:16:18.918;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:22.933;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:26.944;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:30.958;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:34.967;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
27-01-2023 00:16:38.974;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
27-01-2023 00:16:42.988;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:46.995;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:51.009;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:55.023;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:16:59.032;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
27-01-2023 00:17:03.046;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
27-01-2023 00:17:07.055;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
27-01-2023 00:17:11.069;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
27-01-2023 00:17:15.084;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:19.099;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:23.114;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:27.127;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:31.136;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:35.150;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:39.166;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:43.180;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:47.194;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
27-01-2023 00:17:51.209;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:55.224;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:17:59.233;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:03.247;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:07.262;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:11.277;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:15.291;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:19.303;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:23.313;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:27.327;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:31.342;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:35.356;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:18:39.366;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
