27-01-2023 15:35:11.297;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:40:11.321;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:45:11.348;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:50:11.373;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:55:11.396;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:00:11.420;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:05:11.451;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:10:11.474;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:15:11.499;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:20:11.523;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:25:11.546;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:30:11.569;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:35:11.588;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:40:11.612;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:45:11.634;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:50:11.658;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 16:55:11.678;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 17:00:11.701;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 17:05:11.725;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 17:10:11.754;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 17:15:11.771;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 17:17:10.772;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
27-01-2023 17:17:20.893;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
27-01-2023 17:19:17.977;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
27-01-2023 17:19:22.042;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
27-01-2023 17:20:57.919;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
27-01-2023 17:21:05.978;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
27-01-2023 17:21:09.897;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
27-01-2023 17:21:22.036;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
27-01-2023 17:26:22.976;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
27-01-2023 17:31:23.073;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
27-01-2023 17:36:23.179;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
27-01-2023 17:36:38.104;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 17:41:35.288;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 17:44:36.372;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
27-01-2023 17:44:44.332;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
27-01-2023 17:44:45.967;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
27-01-2023 17:45:15.815;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3,8; M: 0 | F: 0; 
27-01-2023 17:49:57.084;StatusLog;BATTERY; OS_RST; TV_OFF; 0; -; -; 
27-01-2023 17:50:25.038;StatusLog;BATTERY; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
27-01-2023 17:50:29.308;StatusLog;BATTERY; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
27-01-2023 17:50:31.852;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
27-01-2023 17:50:35.267;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1,8; M: 0 | F: 0; 
27-01-2023 17:52:40.037;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1,8,4; M: 0 | F: 0; 
27-01-2023 17:55:52.641;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1,8,4; M: 0 | F: 0; 
27-01-2023 17:56:02.614;StatusLog;AC; NORMAL_OP; TV_ON; 4; 1,8,4; M: 0 | F: 0; 
27-01-2023 17:59:22.800;StatusLog;AC; NORMAL_OP; TV_ON; 4; 1,8,4,3; M: 0 | F: 0; 
27-01-2023 17:59:25.495;StatusLog;AC; NORMAL_OP; TV_ON; 4; 1,8,4,3,5; M: 0 | F: 0; 
27-01-2023 18:11:29.849;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1,8,4,3,5; M: 0 | F: 0; 
27-01-2023 18:25:32.710;StatusLog;AC; NORMAL_OP; TV_ON; 4; 1,8,4,3,5; M: 0 | F: 0; 
27-01-2023 18:25:55.918;StatusLog;AC; NORMAL_OP; TV_ON; 4; 1,4,3,5; M: 0 | F: 0; 
27-01-2023 18:25:59.295;StatusLog;AC; NORMAL_OP; TV_ON; 4; 1,4,3; M: 0 | F: 0; 
