03-03-2023 16:04:08.375;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:05:09.263;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:06:06.410;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:06:08.180;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:07:08.663;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:08:04.806;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:08:08.343;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:09:08.457;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:10:04.609;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:10:08.410;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:11:05.860;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:12:08.014;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:12:08.198;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:13:05.273;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:14:07.429;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:14:08.248;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:15:09.682;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:16:06.825;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:16:08.394;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:17:09.076;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:18:05.222;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:18:08.375;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:19:08.781;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:20:04.938;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:20:08.265;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:21:08.403;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:22:08.557;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:22:12.219;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:23:08.420;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:24:07.569;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:24:08.308;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:25:12.930;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:26:07.081;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:26:08.404;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:27:09.333;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:28:06.493;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:28:08.218;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:29:08.742;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:29:13.878;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:29:16.285;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:29:24.398;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:29:40.329;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:30:05.478;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:30:08.324;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:31:12.201;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:32:08.890;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:33:12.307;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:34:04.361;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:35:12.386;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:36:08.768;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:37:12.163;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:38:04.104;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:39:12.240;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:40:04.227;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:41:12.341;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:42:04.311;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
