27-02-2023 12:03:43.863;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:08:43.883;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:13:43.905;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:18:43.927;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:23:43.949;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:28:43.970;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:33:43.994;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:38:44.017;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:43:44.040;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:48:44.059;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:53:44.078;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 12:58:44.098;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:03:44.119;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:08:44.137;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:13:44.161;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:18:44.184;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:23:44.204;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:28:44.228;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:33:44.249;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:38:44.269;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:43:44.288;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:48:44.309;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:53:44.330;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 13:58:44.354;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:03:44.376;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:08:44.399;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
